"","value","record","element","collection"
"176","United States Elections, 2006",36,"subject","loc"
"177","United StatesCongressHouse",36,"subject","loc"
"178","Republican Party",36,"subject","loc"
"179","California",36,"subject","loc"
"180","California (23rd Congressional District)",36,"subject","loc"
"181","electronictext/htmlborn digital",36,"physicalDescription","loc"
"182","eng",36,"language","loc"
"183","Tognazzini, Victor D.",36,"name","loc"
"184","Tognazzini, Victor D.",36,"name","loc"
"185","United StatesCongressHouse",36,"name","loc"
"186","Republican Party",36,"name","loc"
"187","Official Campaign Website - Victor D. Tognazzini",36,"titleInfo","loc"
"188","United States Elections Web Archive",36,"titleInfo","loc"
"189","Researcher and Reference Services Division",36,"titleInfo","loc"
"190","dlc20221128lcwaN0000652eng",35,"recordInfo","loc"
"191","lcwaN0000652",35,"identifier","loc"
"192","2091",35,"identifier","loc"
"193","http://www.lptexas.org/2006/jimthompson",35,"identifier","loc"
"194","1013",35,"identifier","loc"
"195","general",35,"targetAudience","loc"
"196","2006062120061213",35,"originInfo","loc"
"197","United States Elections Web Archive",35,"relatedItem","loc"
"198","Researcher and Reference Services Division",35,"relatedItem","loc"
"199","http://www.lptexas.org/2006/jimthompson1013http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001013.jpgNone2006062120061213",35,"relatedItem","loc"
"200","website",35,"genre","loc"
"201","None",35,"part","loc"
"202","text",35,"typeOfResource","loc"
"203","None",35,"accessCondition","loc"
"204","Thompson, Jim",35,"subject","loc"
"205","Political candidatesUnited States",35,"subject","loc"
"206","ElectionsUnited States",35,"subject","loc"
"207","Politics and governmentUnited States",35,"subject","loc"
"208","United States Elections, 2006",35,"subject","loc"
"209","United StatesCongressHouse",35,"subject","loc"
"210","Libertarian Party",35,"subject","loc"
"211","Texas",35,"subject","loc"
"212","Texas (13rd Congressional District)",35,"subject","loc"
"213","electronictext/htmlborn digital",35,"physicalDescription","loc"
"214","eng",35,"language","loc"
"215","Thompson, Jim",35,"name","loc"
"216","Thompson, Jim",35,"name","loc"
"217","United StatesCongressHouse",35,"name","loc"
"218","Libertarian Party",35,"name","loc"
"219","Official Campaign Website - Jim Thompson",35,"titleInfo","loc"
"220","United States Elections Web Archive",35,"titleInfo","loc"
"221","Researcher and Reference Services Division",35,"titleInfo","loc"
"222","dlc20221128lcwaN0000651eng",34,"recordInfo","loc"
"223","lcwaN0000651",34,"identifier","loc"
"224","2128",34,"identifier","loc"
"225","http://www.charliethompson.org/",34,"identifier","loc"
"226","1012",34,"identifier","loc"
"227","general",34,"targetAudience","loc"
"228","2006062120061214",34,"originInfo","loc"
"229","United States Elections Web Archive",34,"relatedItem","loc"
"230","Researcher and Reference Services Division",34,"relatedItem","loc"
"231","http://www.charliethompson.org/1012http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001012.jpgNone2006062120061214",34,"relatedItem","loc"
"232","website",34,"genre","loc"
"233","None",34,"part","loc"
"234","text",34,"typeOfResource","loc"
"235","None",34,"accessCondition","loc"
"236","Thompson, Charles Edward",34,"subject","loc"
"237","Political candidatesUnited States",34,"subject","loc"
"238","ElectionsUnited States",34,"subject","loc"
"239","Politics and governmentUnited States",34,"subject","loc"
"240","United States Elections, 2006",34,"subject","loc"
"241","United StatesCongressHouse",34,"subject","loc"
"242","Democratic Party",34,"subject","loc"
"243","Texas",34,"subject","loc"
"244","Texas (5th Congressional District)",34,"subject","loc"
"245","electronictext/htmlborn digital",34,"physicalDescription","loc"
"246","eng",34,"language","loc"
"247","Thompson, Charles Edward",34,"name","loc"
"248","Thompson, Charles Edward",34,"name","loc"
"249","United StatesCongressHouse",34,"name","loc"
"250","Democratic Party",34,"name","loc"
"251","Official Campaign Website - Charles Edward Thompson",34,"titleInfo","loc"
"252","United States Elections Web Archive",34,"titleInfo","loc"
"253","Researcher and Reference Services Division",34,"titleInfo","loc"
"254","dlc20221128lcwaN0000650eng",33,"recordInfo","loc"
"255","lcwaN0000650",33,"identifier","loc"
"256","2087",33,"identifier","loc"
"257","https://www.facebook.com/VanForTexas/",33,"identifier","loc"
"258","35997",33,"identifier","loc"
"259","https://www.instagram.com/vantaylortx/",33,"identifier","loc"
"260","35996",33,"identifier","loc"
"261","http://www.vantaylor.com/",33,"identifier","loc"
"262","1011",33,"identifier","loc"
"263","general",33,"targetAudience","loc"
"264","2012051120181204",33,"originInfo","loc"
"265","2018032120181225",33,"originInfo","loc"
"266","2006062120210112",33,"originInfo","loc"
"267","United States Elections Web Archive",33,"relatedItem","loc"
"268","Researcher and Reference Services Division",33,"relatedItem","loc"
"269","https://www.facebook.com/VanForTexas/35997http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0035997.jpghttp://www.facebook.com/VanForTexas/2012051120181204",33,"relatedItem","loc"
"270","https://www.instagram.com/vantaylortx/35996http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0035996.jpghttp://www.instagram.com/vantaylortx/2018032120181225",33,"relatedItem","loc"
"271","http://www.vantaylor.com/1011http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001011.jpghttp://vantaylor.comhttp://www.youtube.com/user/vanfortexas2006062120210112",33,"relatedItem","loc"
"272","website",33,"genre","loc"
"273","http://www.facebook.com/VanForTexas/",33,"part","loc"
"274","http://www.instagram.com/vantaylortx/",33,"part","loc"
"275","http://vantaylor.comhttp://www.youtube.com/user/vanfortexas",33,"part","loc"
"276","text",33,"typeOfResource","loc"
"277","None",33,"accessCondition","loc"
"278","Taylor, Nicholas Vancampen (Van)",33,"subject","loc"
"279","Political candidatesUnited States",33,"subject","loc"
"280","ElectionsUnited States",33,"subject","loc"
"281","Politics and governmentUnited States",33,"subject","loc"
"282","United States Elections, 2006",33,"subject","loc"
"283","United StatesCongressHouse",33,"subject","loc"
"284","Republican Party",33,"subject","loc"
"285","Texas",33,"subject","loc"
"286","Texas (17th Congressional District)",33,"subject","loc"
"287","United States Elections, 2018",33,"subject","loc"
"288","United StatesCongressHouse",33,"subject","loc"
"289","Republican Party",33,"subject","loc"
"290","Texas",33,"subject","loc"
"291","Texas (3rd Congressional District)",33,"subject","loc"
"292","United States Elections, 2020",33,"subject","loc"
"293","United StatesCongressHouse",33,"subject","loc"
"294","Republican Party",33,"subject","loc"
"295","Texas",33,"subject","loc"
"296","Texas (3rd Congressional District)",33,"subject","loc"
"297","electronictext/htmlborn digital",33,"physicalDescription","loc"
"298","eng",33,"language","loc"
"299","Taylor, Nicholas Vancampen (Van)",33,"name","loc"
"300","Taylor, Nicholas Vancampen (Van)",33,"name","loc"
"301","United StatesCongressHouse",33,"name","loc"
"302","Republican Party",33,"name","loc"
"303","United StatesCongressHouse",33,"name","loc"
"304","Republican Party",33,"name","loc"
"305","United StatesCongressHouse",33,"name","loc"
"306","Republican Party",33,"name","loc"
"307","Official Campaign Website - Nicholas Vancampen 'Van' Taylor",33,"titleInfo","loc"
"308","United States Elections Web Archive",33,"titleInfo","loc"
"309","Researcher and Reference Services Division",33,"titleInfo","loc"
"310","dlc20221128lcwaN0000649eng",32,"recordInfo","loc"
"311","lcwaN0000649",32,"identifier","loc"
"312","2080",32,"identifier","loc"
"313","http://www.stumbaughforcongress.com/",32,"identifier","loc"
"314","1010",32,"identifier","loc"
"315","general",32,"targetAudience","loc"
"316","2006062120061213",32,"originInfo","loc"
"317","United States Elections Web Archive",32,"relatedItem","loc"
"318","Researcher and Reference Services Division",32,"relatedItem","loc"
"319","http://www.stumbaughforcongress.com/1010http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001010.jpgNone2006062120061213",32,"relatedItem","loc"
"320","website",32,"genre","loc"
"321","None",32,"part","loc"
"322","text",32,"typeOfResource","loc"
"323","None",32,"accessCondition","loc"
"324","Stumbaugh, Mickey Stubby",32,"subject","loc"
"325","Political candidatesUnited States",32,"subject","loc"
"326","ElectionsUnited States",32,"subject","loc"
"327","Politics and governmentUnited States",32,"subject","loc"
"328","United States Elections, 2006",32,"subject","loc"
"329","United StatesCongressHouse",32,"subject","loc"
"330","Republican Party",32,"subject","loc"
"331","Arkansas",32,"subject","loc"
"332","Arkansas (1st Congressional District)",32,"subject","loc"
"333","electronictext/htmlborn digital",32,"physicalDescription","loc"
"334","eng",32,"language","loc"
"335","Stumbaugh, Mickey Stubby",32,"name","loc"
"336","Stumbaugh, Mickey Stubby",32,"name","loc"
"337","United StatesCongressHouse",32,"name","loc"
"338","Republican Party",32,"name","loc"
"339","Official Campaign Website - Mickey Stubby Stumbaugh",32,"titleInfo","loc"
"340","United States Elections Web Archive",32,"titleInfo","loc"
"341","Researcher and Reference Services Division",32,"titleInfo","loc"
"342","dlc20221128lcwaN0000608eng",31,"recordInfo","loc"
"343","lcwaN0000608",31,"identifier","loc"
"344","2096",31,"identifier","loc"
"345","http://www.bobhiseforcongress.com/",31,"identifier","loc"
"346","955",31,"identifier","loc"
"347","general",31,"targetAudience","loc"
"348","2006062120060823",31,"originInfo","loc"
"349","United States Elections Web Archive",31,"relatedItem","loc"
"350","Researcher and Reference Services Division",31,"relatedItem","loc"
"351","http://www.bobhiseforcongress.com/955http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000955.jpgNone2006062120060823",31,"relatedItem","loc"
"352","website",31,"genre","loc"
"353","None",31,"part","loc"
"354","text",31,"typeOfResource","loc"
"355","None",31,"accessCondition","loc"
"356","Hise, Bobby J.",31,"subject","loc"
"357","Political candidatesUnited States",31,"subject","loc"
"358","ElectionsUnited States",31,"subject","loc"
"359","Politics and governmentUnited States",31,"subject","loc"
"360","United States Elections, 2006",31,"subject","loc"
"361","United StatesCongressHouse",31,"subject","loc"
"362","Independent candidates",31,"subject","loc"
"363","Texas",31,"subject","loc"
"364","Texas (3rd Congressional District)",31,"subject","loc"
"365","electronictext/htmlborn digital",31,"physicalDescription","loc"
"366","eng",31,"language","loc"
"367","Hise, Bobby J.",31,"name","loc"
"368","Hise, Bobby J.",31,"name","loc"
"369","United StatesCongressHouse",31,"name","loc"
"370","Independent candidates",31,"name","loc"
"371","Official Campaign Website - Bobby J. Hise",31,"titleInfo","loc"
"372","United States Elections Web Archive",31,"titleInfo","loc"
"373","Researcher and Reference Services Division",31,"titleInfo","loc"
"374","dlc20221128lcwaN0000607eng",30,"recordInfo","loc"
"375","lcwaN0000607",30,"identifier","loc"
"376","2100",30,"identifier","loc"
"377","http://scott-jameson.ruck.us/",30,"identifier","loc"
"378","25076",30,"identifier","loc"
"379","http://www.scottjameson.org/",30,"identifier","loc"
"380","954",30,"identifier","loc"
"381","general",30,"targetAudience","loc"
"382","2016092020161108",30,"originInfo","loc"
"383","2002080920061213",30,"originInfo","loc"
"384","United States Elections Web Archive",30,"relatedItem","loc"
"385","Researcher and Reference Services Division",30,"relatedItem","loc"
"386","http://scott-jameson.ruck.us/25076http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0025076.jpghttp://scott-jameson.ruck.us2016092020161108",30,"relatedItem","loc"
"387","http://www.scottjameson.org/954http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000954.jpg2002080920061213",30,"relatedItem","loc"
"388","website",30,"genre","loc"
"389","http://scott-jameson.ruck.us",30,"part","loc"
"390","text",30,"typeOfResource","loc"
"391","None",30,"accessCondition","loc"
"392","Jameson, Scott Lanier",30,"subject","loc"
"393","Political candidatesUnited States",30,"subject","loc"
"394","ElectionsUnited States",30,"subject","loc"
"395","Politics and governmentUnited States",30,"subject","loc"
"396","United States Elections, 2002",30,"subject","loc"
"397","United StatesCongressSenate",30,"subject","loc"
"398","Libertarian Party",30,"subject","loc"
"399","Texas",30,"subject","loc"
"400","United States Elections, 2006",30,"subject","loc"
"401","United StatesCongressSenate",30,"subject","loc"
"402","Libertarian Party",30,"subject","loc"
"403","Texas",30,"subject","loc"
"404","United States Elections, 2016",30,"subject","loc"
"405","United StatesCongressHouse",30,"subject","loc"
"406","Libertarian Party",30,"subject","loc"
"407","Texas",30,"subject","loc"
"408","Texas (3rd Congressional District)",30,"subject","loc"
"409","electronictext/htmlborn digital",30,"physicalDescription","loc"
"410","eng",30,"language","loc"
"411","Jameson, Scott Lanier",30,"name","loc"
"412","Jameson, Scott Lanier",30,"name","loc"
"413","United StatesCongressSenate",30,"name","loc"
"414","Libertarian Party",30,"name","loc"
"415","United StatesCongressSenate",30,"name","loc"
"416","Libertarian Party",30,"name","loc"
"417","United StatesCongressHouse",30,"name","loc"
"418","Libertarian Party",30,"name","loc"
"419","Official Campaign Website - Scott Lanier Jameson",30,"titleInfo","loc"
"420","United States Elections Web Archive",30,"titleInfo","loc"
"421","Researcher and Reference Services Division",30,"titleInfo","loc"
"422","dlc20221128lcwaN0000606eng",29,"recordInfo","loc"
"423","lcwaN0000606",29,"identifier","loc"
"424","2099",29,"identifier","loc"
"425","http://home.nctv.com/ourkeysdream",29,"identifier","loc"
"426","953",29,"identifier","loc"
"427","general",29,"targetAudience","loc"
"428","2006062120061213",29,"originInfo","loc"
"429","United States Elections Web Archive",29,"relatedItem","loc"
"430","Researcher and Reference Services Division",29,"relatedItem","loc"
"431","http://home.nctv.com/ourkeysdream953http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000953.jpgNone2006062120061213",29,"relatedItem","loc"
"432","website",29,"genre","loc"
"433","None",29,"part","loc"
"434","text",29,"typeOfResource","loc"
"435","None",29,"accessCondition","loc"
"436","Loux, Arthur Willis",29,"subject","loc"
"437","Political candidatesUnited States",29,"subject","loc"
"438","ElectionsUnited States",29,"subject","loc"
"439","Politics and governmentUnited States",29,"subject","loc"
"440","United States Elections, 2006",29,"subject","loc"
"441","United StatesCongressSenate",29,"subject","loc"
"442","Independent candidates",29,"subject","loc"
"443","Texas",29,"subject","loc"
"444","electronictext/htmlborn digital",29,"physicalDescription","loc"
"445","eng",29,"language","loc"
"446","Loux, Arthur Willis",29,"name","loc"
"447","Loux, Arthur Willis",29,"name","loc"
"448","United StatesCongressSenate",29,"name","loc"
"449","Independent candidates",29,"name","loc"
"450","Official Campaign Website - Arthur Willis Loux",29,"titleInfo","loc"
"451","United States Elections Web Archive",29,"titleInfo","loc"
"452","Researcher and Reference Services Division",29,"titleInfo","loc"
"453","dlc20221128lcwaN0000605eng",28,"recordInfo","loc"
"454","lcwaN0000605",28,"identifier","loc"
"455","2114",28,"identifier","loc"
"456","http://www.lptexas.org/2006/mclauchlan/",28,"identifier","loc"
"457","952",28,"identifier","loc"
"458","general",28,"targetAudience","loc"
"459","2006062120060920",28,"originInfo","loc"
"460","United States Elections Web Archive",28,"relatedItem","loc"
"461","Researcher and Reference Services Division",28,"relatedItem","loc"
"462","http://www.lptexas.org/2006/mclauchlan/952http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000952.jpgNone2006062120060920",28,"relatedItem","loc"
"463","website",28,"genre","loc"
"464","None",28,"part","loc"
"465","text",28,"typeOfResource","loc"
"466","None",28,"accessCondition","loc"
"467","McLauchlan, J. Michael",28,"subject","loc"
"468","Political candidatesUnited States",28,"subject","loc"
"469","ElectionsUnited States",28,"subject","loc"
"470","Politics and governmentUnited States",28,"subject","loc"
"471","United States Elections, 2006",28,"subject","loc"
"472","United StatesCongressHouse",28,"subject","loc"
"473","Libertarian Party",28,"subject","loc"
"474","Texas",28,"subject","loc"
"475","Texas (8th Congressional District)",28,"subject","loc"
"476","electronictext/htmlborn digital",28,"physicalDescription","loc"
"477","eng",28,"language","loc"
"478","McLauchlan, J. Michael",28,"name","loc"
"479","McLauchlan, J. Michael",28,"name","loc"
"480","United StatesCongressHouse",28,"name","loc"
"481","Libertarian Party",28,"name","loc"
"482","Official Campaign Website - J. Michael McLauchlan",28,"titleInfo","loc"
"483","United States Elections Web Archive",28,"titleInfo","loc"
"484","Researcher and Reference Services Division",28,"titleInfo","loc"
"485","dlc20221128lcwaN0000604eng",27,"recordInfo","loc"
"486","lcwaN0000604",27,"identifier","loc"
"487","2093",27,"identifier","loc"
"488","http://www.lptexas.org/2006/mnelson",27,"identifier","loc"
"489","951",27,"identifier","loc"
"490","general",27,"targetAudience","loc"
"491","2006062120061207",27,"originInfo","loc"
"492","United States Elections Web Archive",27,"relatedItem","loc"
"493","Researcher and Reference Services Division",27,"relatedItem","loc"
"494","http://www.lptexas.org/2006/mnelson951http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000951.jpgNone2006062120061207",27,"relatedItem","loc"
"495","website",27,"genre","loc"
"496","None",27,"part","loc"
"497","text",27,"typeOfResource","loc"
"498","None",27,"accessCondition","loc"
"499","Nelson, Mike",27,"subject","loc"
"500","Political candidatesUnited States",27,"subject","loc"
"501","ElectionsUnited States",27,"subject","loc"
"502","Politics and governmentUnited States",27,"subject","loc"
"503","United States Elections, 2006",27,"subject","loc"
"504","United StatesCongressHouse",27,"subject","loc"
"505","Libertarian Party",27,"subject","loc"
"506","Texas",27,"subject","loc"
"507","Texas (5th Congressional District)",27,"subject","loc"
"508","electronictext/htmlborn digital",27,"physicalDescription","loc"
"509","eng",27,"language","loc"
"510","Nelson, Mike",27,"name","loc"
"511","Nelson, Mike",27,"name","loc"
"512","United StatesCongressHouse",27,"name","loc"
"513","Libertarian Party",27,"name","loc"
"514","Official Campaign Website - Mike Nelson",27,"titleInfo","loc"
"515","United States Elections Web Archive",27,"titleInfo","loc"
"516","Researcher and Reference Services Division",27,"titleInfo","loc"
"517","dlc20221128lcwaN0000603eng",26,"recordInfo","loc"
"518","lcwaN0000603",26,"identifier","loc"
"519","2119",26,"identifier","loc"
"520","http://www.lptexas.org/2006/nulsen",26,"identifier","loc"
"521","950",26,"identifier","loc"
"522","general",26,"targetAudience","loc"
"523","2006062120061214",26,"originInfo","loc"
"524","United States Elections Web Archive",26,"relatedItem","loc"
"525","Researcher and Reference Services Division",26,"relatedItem","loc"
"526","http://www.lptexas.org/2006/nulsen950http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000950.jpgNone2006062120061214",26,"relatedItem","loc"
"527","website",26,"genre","loc"
"528","None",26,"part","loc"
"529","text",26,"typeOfResource","loc"
"530","None",26,"accessCondition","loc"
"531","Nulsen, Carl",26,"subject","loc"
"532","Political candidatesUnited States",26,"subject","loc"
"533","ElectionsUnited States",26,"subject","loc"
"534","Politics and governmentUnited States",26,"subject","loc"
"535","United States Elections, 2006",26,"subject","loc"
"536","United StatesCongressHouse",26,"subject","loc"
"537","Libertarian Party",26,"subject","loc"
"538","Texas",26,"subject","loc"
"539","Texas (6th Congressional District)",26,"subject","loc"
"540","electronictext/htmlborn digital",26,"physicalDescription","loc"
"541","eng",26,"language","loc"
"542","Nulsen, Carl",26,"name","loc"
"543","Nulsen, Carl",26,"name","loc"
"544","United StatesCongressHouse",26,"name","loc"
"545","Libertarian Party",26,"name","loc"
"546","Official Campaign Website - Carl Nulsen",26,"titleInfo","loc"
"547","United States Elections Web Archive",26,"titleInfo","loc"
"548","Researcher and Reference Services Division",26,"titleInfo","loc"
